Data;Rs;u2;Tmax;Tmin;RH;pr;ETo
2012-05-09;16.5;1.3;23.4;11.6;76.6;2.0;2.7
2012-05-10;18.3;0.8;27.3;11.2;69.5;0.0;3.0
2012-05-11;18.2;0.6;28.4;14.5;66.6;0.0;3.1
2012-05-12;14.3;0.6;28.9;12.0;67.9;0.0;2.6
2012-05-13;10.5;0.5;27.1;14.8;73.4;0.1;2.1
2012-05-14;7.4;1.0;25.4;17.4;84.5;1.7;1.7
2012-05-15;5.7;1.3;22.6;16.4;87.7;14.7;1.4
2012-05-16;8.6;1.0;23.9;15.3;83.2;4.2;1.8
2012-05-17;16.1;1.2;22.7;11.0;75.1;0.0;2.6
2012-05-18;18.3;1.4;24.1;11.3;70.1;0.0;3.0
2012-05-19;16.8;1.3;24.8;11.3;71.8;0.0;2.8
2012-05-20;17.0;1.5;24.5;12.2;73.2;0.0;2.9
2012-05-21;17.3;1.5;24.7;10.8;72.4;0.0;2.9
2012-05-22;14.2;1.3;24.3;10.4;74.1;0.0;2.5
2012-05-23;12.7;1.4;24.1;11.3;74.8;0.0;2.4
2012-05-24;16.2;1.1;25.8;11.4;73.6;0.0;2.7
2012-05-25;16.3;0.9;27.8;14.1;73.5;1.3;2.8
2012-05-26;11.3;0.4;27.4;14.9;83.2;7.8;2.0
2012-05-27;18.1;0.4;28.4;13.6;73.2;2.1;2.8
2012-05-28;13.8;0.4;28.9;12.4;72.1;0.0;2.3
2012-05-29;17.8;0.6;29.2;13.7;69.3;0.0;2.9
2012-05-30;17.1;0.5;29.7;13.1;71.2;0.0;2.8
2012-05-31;17.0;0.5;29.5;13.5;70.8;0.0;2.7
2012-06-01;16.2;0.9;22.3;13.7;70.4;0.0;2.5
2012-06-02;16.6;0.9;29.4;14.2;72.9;1.2;2.9
2012-06-03;16.5;0.7;29.5;14.1;71.2;0.8;2.8
2012-06-04;15.1;0.8;29.4;13.5;70.7;0.0;2.7
2012-06-05;14.9;0.8;29.3;15.8;70.4;0.4;2.7
2012-06-06;11.7;0.8;27.4;16.5;81.6;13.3;2.2
2012-06-07;8.9;0.6;25.4;16.8;83.9;11.3;1.7
2012-06-08;15.0;1.0;24.9;14.2;77.8;2.4;2.5
2012-06-09;15.3;0.7;26.1;15.1;77.2;0.2;2.5
2012-06-10;17.3;1.1;26.2;13.0;72.6;0.0;2.8
2012-06-11;16.5;1.1;26.7;12.6;74.8;0.0;2.7
2012-06-12;17.2;0.8;27.8;11.9;70.3;0.0;2.8
2012-06-13;15.8;1.2;27.2;12.4;72.2;0.0;2.7
2012-06-14;15.4;1.1;26.4;11.6;70.8;0.0;2.6
2012-06-15;13.9;1.1;25.4;11.2;72.5;0.0;2.4
2012-06-16;15.8;0.8;26.4;11.6;72.1;0.0;2.5
2012-06-17;16.2;0.4;27.0;11.0;71.2;0.0;2.4
2012-06-18;17.6;0.8;27.8;10.4;67.7;0.0;2.8
2012-06-19;12.9;0.6;27.9;12.2;71.2;0.0;2.2
2012-06-20;11.6;0.8;27.5;14.4;74.9;0.0;2.2
2012-06-21;12.7;0.6;27.8;15.9;77.8;1.5;2.2
2012-06-22;12.1;1.0;27.8;15.8;74.7;2.8;2.4
2012-06-23;17.0;1.0;28.9;13.5;69.6;0.0;2.9
2012-06-24;12.1;1.5;27.7;15.3;75.1;0.0;2.6
2012-06-25;14.8;0.9;26.2;12.3;73.1;0.0;2.5
2012-06-26;15.8;1.7;25.7;12.1;67.9;0.0;3.0
2012-06-27;17.0;1.2;25.9;8.4;69.9;0.0;2.8
2012-06-28;16.3;1.5;25.5;11.9;71.9;0.0;2.8
2012-06-29;17.5;1.0;27.0;10.4;64.1;0.0;2.9
2012-06-30;16.8;1.0;28.3;11.2;68.9;0.0;2.8
2012-07-01;17.4;1.1;28.1;11.6;66.7;0.0;3.0
2012-07-02;17.9;1.3;27.6;10.4;67.8;0.0;3.1
2012-07-03;18.0;1.1;27.0;10.4;67.9;0.0;2.9
2012-07-04;16.3;1.6;26.0;8.7;65.6;0.0;3.0
2012-07-05;18.1;1.4;25.8;9.4;68.6;0.0;3.0
2012-07-06;17.5;1.3;26.7;9.4;70.4;0.0;2.9
2012-07-07;16.9;0.7;27.2;9.2;67.8;0.0;2.6
2012-07-08;16.6;0.6;27.4;9.2;68.0;0.0;2.5
2012-07-09;18.1;1.9;25.6;11.9;67.2;0.0;3.2
2012-07-10;17.5;0.9;25.5;8.1;66.4;0.0;2.7
2012-07-11;15.4;0.6;26.9;10.7;67.3;0.4;2.4
2012-07-12;15.7;0.9;28.6;12.5;59.7;0.0;2.8
2012-07-13;12.6;0.8;27.4;14.1;70.0;0.0;2.4
2012-07-14;18.1;0.8;27.5;9.5;66.4;0.0;2.8
2012-07-15;17.0;1.4;28.5;10.8;67.1;0.0;3.2
2012-07-16;17.1;2.0;26.8;11.5;70.4;0.0;3.3
2012-07-17;12.6;1.9;25.3;12.5;72.7;0.0;2.7
2012-07-18;7.2;0.9;22.9;11.7;80.2;0.0;1.6
2012-07-19;17.7;0.7;23.4;6.7;59.3;0.1;2.5
2012-07-20;18.4;0.9;26.7;4.3;58.0;0.0;2.9
2012-07-21;18.7;0.8;28.7;7.9;60.1;0.0;3.1
2012-07-22;18.5;0.8;29.5;8.8;60.2;0.0;3.1
2012-07-23;16.9;0.9;30.4;10.4;57.2;0.0;3.2
2012-07-24;18.7;1.2;29.7;11.4;51.6;0.0;3.5
2012-07-25;18.7;0.7;29.3;8.8;54.6;0.0;3.0
2012-07-26;19.2;0.9;29.2;8.8;53.9;0.0;3.2
2012-07-27;19.3;0.7;29.7;8.4;56.3;0.0;3.1
2012-07-28;19.3;0.9;29.1;8.4;55.7;0.0;3.3
2012-07-29;19.8;1.1;28.7;8.9;59.9;0.0;3.4
2012-07-30;19.5;1.0;29.1;8.3;56.6;0.0;3.4
2012-07-31;19.0;1.6;28.0;9.6;59.9;0.0;3.7
2012-08-01;13.4;1.2;26.3;10.4;69.8;0.0;2.7
2012-08-02;13.0;1.6;25.2;11.5;69.8;0.0;2.7
2012-08-03;18.2;1.2;26.0;10.8;65.7;0.0;3.2
2012-08-04;20.0;0.6;28.1;9.0;61.4;0.0;3.1
2012-08-05;19.3;0.7;29.4;9.3;60.6;0.0;3.2
2012-08-06;15.7;1.1;28.1;11.1;60.5;0.0;3.1
2012-08-07;19.4;1.9;26.5;10.9;64.2;0.0;3.7
2012-08-08;20.6;1.6;26.2;9.5;62.6;0.0;3.7
2012-08-09;19.7;1.5;25.9;7.7;62.1;0.0;3.5
2012-08-10;18.4;1.6;25.7;8.3;62.6;0.0;3.5
2012-08-11;18.6;1.9;25.8;7.8;59.8;0.0;3.7
2012-08-12;15.4;1.6;25.6;8.9;66.6;0.0;3.1
2012-08-13;13.5;1.4;25.8;11.4;70.6;0.0;2.8
2012-08-14;12.6;1.8;25.6;11.1;71.5;0.0;2.8
2012-08-15;10.5;1.6;24.5;10.9;73.0;0.0;2.5
2012-08-16;14.8;1.8;24.6;11.9;72.9;0.0;3.0
2012-08-17;21.3;2.4;25.5;12.2;60.8;0.2;4.2
2012-08-18;20.3;2.2;26.5;12.2;59.3;0.0;4.2
2012-08-19;15.9;1.5;26.0;11.7;68.8;0.0;3.2
2012-08-20;20.4;2.1;24.4;10.4;62.3;0.0;3.8
2012-08-21;17.3;1.5;25.7;7.1;63.3;0.0;3.4
2012-08-22;22.5;1.9;27.0;13.3;57.3;0.0;4.4
2012-08-23;15.4;2.1;25.0;9.3;66.2;0.0;3.4
2012-08-24;22.5;2.3;27.6;11.7;60.0;0.0;4.6
2012-08-25;22.9;1.8;27.3;9.2;56.5;0.0;4.4
2012-08-26;21.2;1.8;27.3;9.3;60.4;0.0;4.2
2012-08-27;22.8;1.7;28.7;10.4;54.9;0.0;4.6
2012-08-28;14.4;1.3;29.7;10.3;55.0;0.0;3.5
2012-08-29;17.5;1.1;30.6;11.2;57.0;0.0;3.7
2012-08-30;23.1;1.1;30.7;10.1;53.3;0.0;4.4
2012-08-31;23.3;1.3;30.7;10.9;54.4;0.0;4.6
2012-09-01;23.2;1.1;32.2;9.3;50.0;0.0;4.6
2012-09-02;23.0;1.0;32.8;9.7;47.9;0.0;4.5
2012-09-03;22.9;1.2;33.6;11.2;45.1;0.0;4.9
2012-09-04;22.2;2.2;31.1;15.9;55.7;0.0;5.3
2012-09-05;22.7;1.5;29.8;12.1;59.2;0.0;4.6
2012-09-06;22.8;1.4;31.1;11.2;50.0;0.0;4.8
2012-09-07;22.2;1.6;30.6;11.8;55.0;0.0;4.8
2012-09-08;23.0;1.4;30.9;12.0;56.3;0.0;4.7
2012-09-09;23.3;0.9;32.5;11.9;48.5;0.0;4.5
2012-09-10;23.0;0.9;33.8;12.1;45.5;0.0;4.6
2012-09-11;22.6;1.1;34.9;13.2;44.7;0.0;5.0
2012-09-12;21.5;0.8;35.7;14.4;43.8;0.0;4.6
2012-09-13;18.8;1.2;36.5;16.6;43.0;0.0;4.8
2012-09-14;20.1;2.2;33.7;19.6;60.3;0.0;5.3
2012-09-15;21.9;2.3;32.2;16.6;59.2;0.0;5.4
2012-09-16;24.3;1.7;30.5;15.9;55.1;0.0;5.2
2012-09-17;24.0;1.6;32.7;15.0;56.5;0.0;5.3
2012-09-18;24.6;1.1;34.1;13.8;48.8;0.0;5.1
2012-09-19;23.0;1.0;35.5;13.8;45.9;0.0;5.1
2012-09-20;10.8;1.4;32.8;17.0;57.3;0.0;3.5
2012-09-21;11.6;0.9;29.9;16.2;65.4;0.3;2.9
2012-09-22;17.2;1.2;29.6;16.0;65.7;9.5;3.8
2012-09-23;15.8;2.2;26.1;16.4;69.8;0.0;3.7
2012-09-24;17.6;2.2;28.2;15.3;64.9;3.9;4.3
2012-09-25;20.8;1.6;31.2;15.4;65.4;1.3;4.6
2012-09-26;11.8;1.1;26.4;18.3;77.2;20.0;2.7
2012-09-27;27.1;2.2;25.2;10.0;51.8;0.0;5.2
2012-09-28;27.3;2.3;26.2;10.6;48.8;0.0;5.5
2012-09-29;27.2;2.1;26.0;8.8;50.6;0.0;5.3
2012-09-30;26.9;1.6;26.2;8.9;54.0;0.0;5.0
2012-10-01;27.0;1.5;29.0;9.9;47.4;0.0;5.3
2012-10-02;25.8;1.3;32.2;11.1;44.6;0.0;5.5
2012-10-03;26.9;2.0;32.2;15.1;52.5;0.0;6.1
2012-10-04;26.5;2.0;31.8;14.0;52.0;0.0;6.0
2012-10-05;27.2;2.1;31.8;14.9;51.4;0.0;6.2
2012-10-06;25.9;1.9;30.4;14.2;52.8;0.0;5.7
2012-10-07;26.4;2.2;29.7;11.7;52.7;0.0;5.8
2012-10-08;23.9;2.2;30.1;13.3;54.6;0.0;5.5
2012-10-09;23.3;2.3;30.2;13.7;53.7;0.0;5.6
2012-10-10;25.8;1.6;31.2;13.0;53.2;0.0;5.6
2012-10-11;26.7;1.2;33.4;13.6;48.7;0.0;5.7
2012-10-12;22.6;1.5;34.2;17.7;46.8;0.0;5.6
2012-10-13;16.9;2.1;30.6;17.7;70.1;29.6;4.3
2012-10-14;17.8;2.1;26.4;17.9;73.9;0.0;3.9
2012-10-15;24.3;1.5;27.5;13.8;65.8;0.0;4.7
2012-10-16;26.2;1.9;29.9;14.5;60.2;0.0;5.6
2012-10-17;13.6;1.6;28.1;16.3;71.8;0.0;3.4
2012-10-18;24.6;0.7;30.1;15.9;59.0;0.6;4.8
2012-10-19;24.2;1.3;33.1;16.9;62.2;0.0;5.3
2012-10-20;22.9;1.8;32.4;16.4;69.4;21.2;5.2
2012-10-21;27.5;1.2;32.5;16.6;62.2;0.0;5.7
2012-10-22;14.6;0.8;32.7;19.9;67.8;1.6;3.6
2012-10-23;19.3;1.0;31.2;18.2;59.7;0.0;4.4
2012-10-24;9.2;1.1;28.3;20.2;67.7;1.8;2.7
2012-10-25;25.5;1.8;29.5;17.5;60.4;1.0;5.5
2012-10-26;29.2;1.9;33.8;18.3;50.2;0.0;6.8
2012-10-27;28.3;1.7;35.0;16.6;45.8;0.0;6.7
2012-10-28;27.2;1.0;37.1;16.0;43.8;0.0;6.0
2012-10-29;23.6;1.8;37.1;22.2;51.2;0.0;6.5
2012-10-30;22.9;1.1;37.2;21.0;55.9;2.0;5.6
2012-10-31;21.0;1.1;37.3;18.5;56.2;3.9;5.2
2012-11-01;26.0;0.9;36.9;19.2;53.8;0.7;5.8
2012-11-02;24.4;1.9;34.6;19.3;69.4;0.5;5.8
2012-11-03;14.6;0.8;30.4;19.3;79.6;31.1;3.3
2012-11-04;21.9;1.3;29.7;19.5;77.1;4.8;4.6
2012-11-05;23.2;1.0;30.8;18.1;73.6;5.3;4.8
2012-11-06;20.3;1.5;30.5;18.0;76.0;0.0;4.4
2012-11-07;16.7;1.4;29.7;19.5;79.6;2.2;3.8
2012-11-08;18.0;1.8;28.2;17.8;73.4;15.3;4.1
2012-11-09;8.9;1.6;25.8;18.7;87.5;0.9;2.2
2012-11-10;9.0;1.3;23.7;18.6;88.4;49.0;2.1
2012-11-11;14.8;0.9;24.8;19.0;86.7;9.5;3.0
2012-11-12;20.6;0.6;28.4;19.0;76.2;6.0;4.1
2012-11-13;14.0;0.8;30.4;20.3;81.6;16.8;3.2
2012-11-14;18.0;1.5;29.7;19.6;77.0;0.0;4.0
2012-11-15;16.7;1.3;29.4;18.7;83.1;20.9;3.6
2012-11-16;13.7;0.9;28.1;18.3;83.1;12.0;3.0
2012-11-17;26.9;1.2;29.1;16.7;64.4;0.0;5.4
2012-11-18;25.7;1.7;29.6;14.8;68.2;0.0;5.3
2012-11-19;21.0;1.5;29.0;16.1;72.4;0.0;4.5
2012-11-20;16.4;1.1;28.4;17.6;81.1;1.5;3.5
2012-11-21;27.4;0.7;30.5;17.1;67.8;27.4;5.4
2012-11-22;30.4;0.9;32.5;14.5;58.7;0.0;6.0
2012-11-23;29.5;1.0;33.8;16.3;61.5;0.0;6.1
2012-11-24;22.2;0.6;32.2;15.8;69.0;0.0;4.6
2012-11-25;8.9;0.5;27.6;20.6;89.1;8.9;2.1
2012-11-26;14.9;1.2;27.4;20.2;84.4;19.2;3.2
2012-11-27;12.8;1.0;27.3;19.8;85.4;4.6;2.8
2012-11-28;14.8;0.6;28.2;20.5;84.7;4.5;3.2
2012-11-29;25.8;0.7;31.8;19.0;72.1;1.9;5.3
2012-11-30;24.3;1.9;32.3;18.0;67.4;0.0;5.6
2012-12-01;19.7;1.4;30.8;19.9;69.6;0.0;4.6
2012-12-02;23.0;1.3;30.7;19.7;66.1;0.0;5.1
2012-12-03;18.8;0.9;31.7;19.8;73.9;0.0;4.2
2012-12-04;27.9;1.2;32.3;18.7;63.4;0.0;5.9
2012-12-05;28.8;1.6;32.9;18.3;63.2;0.0;6.3
2012-12-06;27.0;1.0;33.3;17.8;63.6;0.0;5.7
2012-12-07;27.6;0.7;35.0;18.3;65.4;0.1;5.8
2012-12-08;22.0;0.6;35.0;21.7;71.3;0.2;4.9
2012-12-09;13.3;0.9;34.4;21.6;77.1;0.0;3.4
2012-12-10;17.6;0.8;32.4;20.5;77.2;13.0;4.0
2012-12-11;13.4;0.6;30.2;19.6;83.8;0.8;3.0
2012-12-12;17.3;0.5;29.6;19.7;80.6;5.2;3.7
2012-12-13;25.0;0.9;31.6;19.6;72.4;0.2;5.2
2012-12-14;15.8;0.8;30.4;21.0;80.5;11.1;3.5
2012-12-15;25.2;0.7;31.4;20.3;70.2;0.0;5.2
2012-12-16;20.5;0.8;32.9;20.5;74.2;0.0;4.5
2012-12-17;28.1;1.0;33.8;19.5;63.3;0.0;6.0
2012-12-18;25.6;0.9;34.6;19.0;61.0;0.0;5.6
2012-12-19;24.2;1.3;35.3;19.7;67.3;0.0;5.7
2012-12-20;22.8;1.1;33.8;20.0;75.1;34.7;5.1
2012-12-21;25.1;1.0;32.6;20.2;72.4;0.0;5.4
2012-12-22;29.9;1.1;33.8;18.7;62.0;16.9;6.3
2012-12-23;28.0;1.5;33.6;21.3;61.4;0.0;6.4
2012-12-24;28.8;1.4;30.8;19.4;60.9;0.0;6.1
2012-12-25;29.1;1.1;34.2;17.4;61.8;0.0;6.2
2012-12-26;26.7;1.0;35.4;18.9;61.6;0.0;5.9
2012-12-27;21.7;0.9;34.5;20.5;67.3;1.5;5.0
2012-12-28;23.7;1.4;33.4;19.0;67.6;2.2;5.4
2012-12-29;11.0;0.7;30.6;18.4;74.6;44.7;2.8
2012-12-30;26.9;1.0;30.1;18.0;67.8;2.3;5.4
2012-12-31;30.2;1.4;32.2;18.1;60.7;0.2;6.4
2013-01-01;30.7;1.1;33.2;15.8;59.7;0.0;6.3
2013-01-02;27.1;1.1;34.2;17.2;59.2;0.0;5.9
2013-01-03;28.1;1.2;34.4;17.7;60.3;4.5;6.2
2013-01-04;24.7;1.5;33.0;20.7;63.2;0.0;5.7
2013-01-05;26.8;1.3;33.1;17.7;61.1;0.0;5.9
2013-01-06;29.3;1.1;34.7;18.0;55.3;0.0;6.3
2013-01-07;20.5;1.2;33.6;18.7;66.8;0.0;4.8
2013-01-08;17.4;1.0;31.6;20.7;77.4;1.1;4.0
2013-01-09;15.6;1.2;30.5;21.3;75.1;4.9;3.7
2013-01-10;11.5;0.9;28.3;20.2;80.8;4.9;2.7
2013-01-11;7.4;0.7;23.6;18.3;88.8;39.0;1.8
2013-01-12;19.6;0.8;26.1;18.6;78.8;25.4;3.9
2013-01-13;18.6;1.8;29.1;18.4;72.3;14.0;4.3
2013-01-14;15.8;1.1;29.1;18.9;71.9;0.3;3.7
2013-01-15;17.0;1.0;29.5;19.5;77.0;1.5;3.8
2013-01-16;15.4;0.7;29.3;19.5;85.8;8.6;3.3
2013-01-17;16.1;0.6;28.6;19.0;87.6;18.4;3.4
2013-01-18;21.1;0.6;29.5;18.9;81.4;18.9;4.3
2013-01-19;25.7;0.7;32.5;18.6;70.4;0.0;5.3
2013-01-20;20.3;1.0;32.2;20.1;76.9;1.9;4.5
2013-01-21;18.2;1.4;30.7;18.8;77.2;3.1;4.1
2013-01-22;16.4;1.6;29.7;17.8;71.2;3.8;4.0
2013-01-23;22.8;1.5;29.1;18.1;70.1;0.0;4.8
2013-01-24;13.8;1.0;28.8;17.1;81.2;0.0;3.1
2013-01-25;18.5;0.8;29.4;20.7;83.6;3.6;3.9
2013-01-26;8.2;0.8;28.5;21.1;89.6;33.3;2.0
2013-01-27;13.1;0.6;27.6;21.2;88.1;11.5;2.8
2013-01-28;9.6;1.1;27.2;21.2;89.2;19.8;2.3
2013-01-29;10.8;0.8;27.3;20.7;86.9;16.5;2.5
2013-01-30;14.7;0.6;29.0;20.5;85.1;2.7;3.2
2013-01-31;7.8;0.5;27.5;20.9;89.3;3.8;1.9
2013-02-01;20.0;0.8;28.3;18.9;77.9;10.8;4.1
2013-02-02;14.8;0.9;30.5;19.2;82.2;0.4;3.3
2013-02-03;26.9;0.6;31.1;18.6;73.9;13.4;5.3
2013-02-04;16.5;0.6;30.3;18.6;76.4;0.0;3.6
2013-02-05;15.7;0.7;28.6;19.6;78.1;3.3;3.4
2013-02-06;15.0;1.5;28.4;19.6;79.1;3.2;3.4
2013-02-07;25.2;1.7;29.3;19.5;68.8;0.3;5.3
2013-02-08;23.0;1.7;30.7;18.0;69.4;0.0;5.1
2013-02-09;24.3;1.6;31.7;18.4;68.7;0.0;5.3
2013-02-10;27.3;1.7;31.9;19.0;65.4;0.0;6.0
2013-02-11;25.8;1.3;33.0;17.0;63.6;0.0;5.6
2013-02-12;28.8;0.9;33.0;16.9;58.7;0.0;5.8
2013-02-13;25.9;0.8;33.5;17.2;61.7;0.0;5.3
2013-02-14;28.8;1.1;33.3;17.6;61.2;0.0;6.0
2013-02-15;27.1;0.9;33.8;17.7;62.8;0.0;5.6
2013-02-16;26.6;1.1;34.0;18.4;66.8;0.0;5.7
2013-02-17;25.4;1.1;33.9;18.0;62.6;0.0;5.5
2013-02-18;27.2;1.1;33.7;17.6;62.5;0.0;5.8
2013-02-19;26.9;1.7;33.2;17.4;61.0;0.0;6.0
2013-02-20;28.5;1.8;32.4;17.4;62.0;0.0;6.2
2013-02-21;27.3;1.7;32.7;16.9;61.1;0.0;6.0
2013-02-22;25.1;1.1;33.4;16.0;62.8;0.0;5.4
2013-02-23;26.3;1.0;32.6;16.8;61.0;0.0;5.4
2013-02-24;22.2;1.3;32.1;17.5;66.6;0.0;4.9
2013-02-25;23.0;1.1;32.3;17.4;66.1;0.0;4.9
2013-02-26;24.4;0.7;33.5;17.9;63.9;0.0;5.0
2013-02-27;21.0;0.7;34.8;20.3;73.0;0.0;4.6
2013-02-28;21.9;1.2;32.8;19.1;74.4;21.7;4.8
2013-03-01;7.7;0.6;27.1;19.5;89.8;39.1;1.8
2013-03-02;12.5;1.4;25.4;20.0;79.9;21.7;2.9
2013-03-03;22.4;1.2;29.2;19.5;72.2;1.4;4.6
2013-03-04;25.2;1.0;31.9;18.2;71.3;0.0;5.1
2013-03-05;24.7;0.6;33.2;18.7;66.1;0.0;5.0
2013-03-06;17.5;0.9;33.2;19.9;77.4;0.0;3.9
2013-03-07;19.9;0.9;32.9;18.2;79.0;1.2;4.3
2013-03-08;20.4;0.8;33.1;19.9;74.4;0.9;4.4
2013-03-09;25.2;0.8;32.8;18.6;65.2;0.0;5.1
2013-03-10;21.3;1.0;32.8;20.5;71.1;0.9;4.6
2013-03-11;20.5;0.7;33.1;19.9;71.8;2.7;4.4
2013-03-12;24.6;0.8;34.1;20.9;69.1;1.1;5.2
2013-03-13;20.2;0.8;34.1;21.0;70.8;0.1;4.5
2013-03-14;16.5;0.9;31.0;20.4;73.2;5.2;3.7
2013-03-15;15.8;1.4;31.3;21.4;76.2;0.0;3.7
2013-03-16;21.6;0.9;30.7;20.7;68.4;0.0;4.5
2013-03-17;23.8;0.7;32.3;17.3;66.8;0.0;4.7
2013-03-18;18.7;1.3;32.0;20.7;70.1;3.5;4.3
2013-03-19;14.3;2.1;29.0;19.3;70.9;2.3;3.7
2013-03-20;21.6;1.9;29.1;17.0;68.1;0.1;4.6
2013-03-21;12.5;1.1;28.6;18.4;75.6;0.0;2.9
